ORIG_CD;DEST_CD;MILES;O&D
SIN;CKG;1961;SIN-CKG
BHJ;BOM;356;BHJ-BOM
TPE;SUB;2316;TPE-SUB
HOU;DCA;1218;HOU-DCA
TAS;BHK;278;TAS-BHK
PMW;BPS;754;PMW-BPS
MCP;BSB;1119;MCP-BSB
SVO;NBE;1867;SVO-NBE
FOR;AMS;4625;FOR-AMS
LOS;COO;64;LOS-COO
PGZ;CAY;2076;PGZ-CAY
SSA;CLV;762;SSA-CLV
VLC;FNC;1023;VLC-FNC
ROO;MGF;508;ROO-MGF
PTY;JAX;1481;PTY-JAX
IPN;BVH;1258;IPN-BVH
URG;MCO;4314;URG-MCO
NVT;JDO;1491;NVT-JDO
LYS;IBZ;510;LYS-IBZ
CFU;NUE;809;CFU-NUE
FTA;AWD;46;FTA-AWD
KWI;ATZ;1037;KWI-ATZ
WUX;TAO;313;WUX-TAO
PDG;BTH;261;PDG-BTH
CUU;CJS;205;CUU-CJS
YVR;SJD;1949;YVR-SJD
SIN;IAH;9925;SIN-IAH
DTW;BDL;547;DTW-BDL
EVN;UFA;1129;EVN-UFA
HUX;YEG;2754;HUX-YEG
LIR;CLT;1719;LIR-CLT
PFO;CHQ;475;PFO-CHQ
BOO;MJF;107;BOO-MJF
MEA;VAL;651;MEA-VAL
HRG;MUC;1874;HRG-MUC
MVD;RVD;1216;MVD-RVD
LNV;POM;577;LNV-POM
NRT;TIJ;5560;NRT-TIJ
JOI;ROO;767;JOI-ROO
AGP;BSL;971;AGP-BSL
HEL;LGW;1154;HEL-LGW
BOM;BHJ;356;BOM-BHJ
DOK;IEV;367;DOK-IEV
OSI;SPU;180;OSI-SPU
CRK;PUS;1475;CRK-PUS
DEN;YWG;783;DEN-YWG
NAS;STI;586;NAS-STI
CTS;UUS;287;CTS-UUS
CSY;KUF;211;CSY-KUF
PBC;REC;4712;PBC-REC
CIX;CUR;1504;CIX-CUR
CMG;FLL;3452;CMG-FLL
GPB;MOC;778;GPB-MOC
YPM;YRL;53;YPM-YRL
LYS;TBJ;635;LYS-TBJ
IAD;MAN;3565;IAD-MAN
AAE;MRS;477;AAE-MRS
DLM;GRQ;1516;DLM-GRQ
ARU;MII;79;ARU-MII
NUE;CFU;809;NUE-CFU
HBA;OOL;1067;HBA-OOL
ATL;BCN;4572;ATL-BCN
FAC;KHZ;64;FAC-KHZ
SLQ;ANI;79;SLQ-ANI
DEL;KIX;3410;DEL-KIX
FLN;PUJ;3445;FLN-PUJ
GIG;SMF;6597;GIG-SMF
RUN;TNR;541;RUN-TNR
UFA;EVN;1129;UFA-EVN
YEG;HUX;2754;YEG-HUX
GAE;TOE;105;GAE-TOE
ROP;SPN;73;ROP-SPN
MJF;BOO;107;MJF-BOO
VAL;MEA;651;VAL-MEA
MUC;HRG;1874;MUC-HRG
RVD;MVD;1216;RVD-MVD
POM;LNV;577;POM-LNV
TIJ;NRT;5560;TIJ-NRT
ROO;JOI;767;ROO-JOI
BSL;AGP;971;BSL-AGP
LGW;HEL;1154;LGW-HEL
SON;VLI;162;SON-VLI
IEV;DOK;367;IEV-DOK
SPU;OSI;180;SPU-OSI
PUS;CRK;1475;PUS-CRK
YWG;DEN;783;YWG-DEN
STI;NAS;586;STI-NAS
UUS;CTS;287;UUS-CTS
KUF;CSY;211;KUF-CSY
REC;PBC;4712;REC-PBC
CUR;CIX;1504;CUR-CIX
FLL;CMG;3452;FLL-CMG
MOC;GPB;778;MOC-GPB
YRL;YPM;53;YRL-YPM
ATH;VCE;800;ATH-VCE
MAN;IAD;3565;MAN-IAD
MRS;AAE;477;MRS-AAE
GRQ;DLM;1516;GRQ-DLM
MII;ARU;79;MII-ARU
CVG;SYR;527;CVG-SYR
OOL;HBA;1067;OOL-HBA
BCN;ATL;4572;BCN-ATL
PUS;WUH;906;PUS-WUH
ATH;NTE;1440;ATH-NTE
KIX;DEL;3410;KIX-DEL
PUJ;FLN;3445;PUJ-FLN
SMF;GIG;6597;SMF-GIG
TNR;RUN;541;TNR-RUN
DEL;DHM;253;DEL-DHM
KCH;SIN;438;KCH-SIN
SHJ;LAR;7691;SHJ-LAR
SPN;ROP;73;SPN-ROP
CLV;JJD;1167;CLV-JJD
CMG;LDB;516;CMG-LDB
AMS;XMN;5791;AMS-XMN
LGA;MCI;1104;LGA-MCI
CGN;FUE;1895;CGN-FUE
ACE;LTN;1725;ACE-LTN
AKX;DME;878;AKX-DME
SGC;YMK;501;SGC-YMK
JJD;ROS;2459;JJD-ROS
VLI;SON;162;VLI-SON
CGR;GRU;564;CGR-GRU
IAN;OTZ;59;IAN-OTZ
LCA;UFA;1730;LCA-UFA
ESB;MED;1145;ESB-MED
DTW;GSO;460;DTW-GSO
AUS;BGA;2246;AUS-BGA
IST;ORY;1391;IST-ORY
HGH;YIH;537;HGH-YIH
AGH;BMA;282;AGH-BMA
CFB;MEA;44;CFB-MEA
BPS;CAC;1103;BPS-CAC
PAP;SXM;603;PAP-SXM
VCE;ATH;800;VCE-ATH
FAR;MSP;223;FAR-MSP
BNA;GYE;2670;BNA-GYE
CFU;MUC;726;CFU-MUC
CAN;SYX;429;CAN-SYX
SYR;CVG;527;SYR-CVG
MAR;MTY;2132;MAR-MTY
SET;STM;2444;SET-STM
WUH;PUS;906;WUH-PUS
NTE;ATH;1440;NTE-ATH
JFK;KBP;4685;JFK-KBP
MHD;ZBR;745;MHD-ZBR
HET;WUA;302;HET-WUA
KRR;LBD;1581;KRR-LBD
DHM;DEL;253;DHM-DEL
SIN;KCH;438;SIN-KCH
MLH;TLS;404;MLH-TLS
BAV;CTU;767;BAV-CTU
JJD;CLV;1167;JJD-CLV
LDB;CMG;516;LDB-CMG
XMN;AMS;5791;XMN-AMS
MCI;LGA;1104;MCI-LGA
FUE;CGN;1895;FUE-CGN
LTN;ACE;1725;LTN-ACE
DME;AKX;878;DME-AKX
YMK;SGC;501;YMK-SGC
ROS;JJD;2459;ROS-JJD
ASP;BNE;1219;ASP-BNE
GRU;CGR;564;GRU-CGR
OTZ;IAN;59;OTZ-IAN
UFA;LCA;1730;UFA-LCA
MED;ESB;1145;MED-ESB
GSO;DTW;460;GSO-DTW
BGA;AUS;2246;BGA-AUS
ORY;IST;1391;ORY-IST
YIH;HGH;537;YIH-HGH
BMA;AGH;282;BMA-AGH
MEA;CFB;44;MEA-CFB
CAC;BPS;1103;CAC-BPS
SXM;PAP;603;SXM-PAP
TPE;URC;2298;TPE-URC
MSP;FAR;223;MSP-FAR
GYE;BNA;2670;GYE-BNA
MUC;CFU;726;MUC-CFU
SYX;CAN;429;SYX-CAN
MAB;VCP;1226;MAB-VCP
MTY;MAR;2132;MTY-MAR
STM;SET;2444;STM-SET
LEC;VAG;687;LEC-VAG
MSQ;WAW;297;MSQ-WAW
KBP;JFK;4685;KBP-JFK
ZBR;MHD;745;ZBR-MHD
WUA;HET;302;WUA-HET
LBD;KRR;1581;LBD-KRR
ALG;IAM;704;ALG-IAM
FKB;HER;1272;FKB-HER
TLS;MLH;404;TLS-MLH
CTU;BAV;767;CTU-BAV
MGQ;NBO;623;MGQ-NBO
JTC;RIA;596;JTC-RIA
IGU;POJ;700;IGU-POJ
ATH;DOK;986;ATH-DOK
LWO;POZ;351;LWO-POZ
BTJ;KNO;271;BTJ-KNO
ISG;NGO;1044;ISG-NGO
PVG;YNZ;183;PVG-YNZ
JMK;LHR;1589;JMK-LHR
BNE;ASP;1219;BNE-ASP
ROS;SCL;581;ROS-SCL
BAQ;MGA;777;BAQ-MGA
BVB;MCZ;1831;BVB-MCZ
GRU;MPL;5612;GRU-MPL
DUB;ZAG;1126;DUB-ZAG
EZE;RIA;452;EZE-RIA
CHS;JFK;636;CHS-JFK
YAX;YXL;238;YAX-YXL
SKG;TLV;881;SKG-TLV
MSP;MSY;1040;MSP-MSY
IFP;SPS;919;IFP-SPS
ORY;TUF;118;ORY-TUF
URC;TPE;2298;URC-TPE
ROO;SLZ;1201;ROO-SLZ
JPR;SDU;1486;JPR-SDU
EZE;NAT;2492;EZE-NAT
GDN;TLV;1736;GDN-TLV
VCP;MAB;1226;VCP-MAB
BSL;STR;109;BSL-STR
PAV;SDU;988;PAV-SDU
VAG;LEC;687;VAG-LEC
WAW;MSQ;297;WAW-MSQ
MII;SSA;997;MII-SSA
GOJ;NSK;1599;GOJ-NSK
TJL;UBA;250;TJL-UBA
FLL;MEA;4218;FLL-MEA
IAM;ALG;704;IAM-ALG
HER;FKB;1272;HER-FKB
FBM;FIH;964;FBM-FIH
BRA;CPV;704;BRA-CPV
NBO;MGQ;623;NBO-MGQ
RIA;JTC;596;RIA-JTC
POJ;IGU;700;POJ-IGU
DOK;ATH;986;DOK-ATH
POZ;LWO;351;POZ-LWO
KNO;BTJ;271;KNO-BTJ
NGO;ISG;1044;NGO-ISG
YNZ;PVG;183;YNZ-PVG
LHR;JMK;1589;LHR-JMK
FLR;JTR;911;FLR-JTR
SCL;ROS;581;SCL-ROS
MGA;BAQ;777;MGA-BAQ
MCZ;BVB;1831;MCZ-BVB
MPL;GRU;5612;MPL-GRU
ZAG;DUB;1126;ZAG-DUB
RIA;EZE;452;RIA-EZE
JFK;CHS;636;JFK-CHS
YXL;YAX;238;YXL-YAX
TLV;SKG;881;TLV-SKG
MSY;MSP;1040;MSY-MSP
SPS;IFP;919;SPS-IFP
TUF;ORY;118;TUF-ORY
DYU;FRU;426;DYU-FRU
SLZ;ROO;1201;SLZ-ROO
SDU;JPR;1486;SDU-JPR
NAT;EZE;2492;NAT-EZE
TLV;GDN;1736;TLV-GDN
YBG;YUL;237;YBG-YUL
STR;BSL;109;STR-BSL
SDU;PAV;988;SDU-PAV
CNS;NRT;3651;CNS-NRT
LUX;LCA;1720;LUX-LCA
SSA;MII;997;SSA-MII
NSK;GOJ;1599;NSK-GOJ
UBA;TJL;250;UBA-TJL
MEA;FLL;4218;MEA-FLL
MED;RUH;441;MED-RUH
GRU;STI;3366;GRU-STI
FIH;FBM;964;FIH-FBM
CPV;BRA;704;CPV-BRA
AGP;HEL;2083;AGP-HEL
EWR;YOW;329;EWR-YOW
BOI;SFO;522;BOI-SFO
IAD;SXM;1678;IAD-SXM
CMN;TIP;1200;CMN-TIP
TGD;VIE;419;TGD-VIE
KZN;SVX;452;KZN-SVX
JFK;SJC;2562;JFK-SJC
AKL;TBU;1245;AKL-TBU
JTR;FLR;911;JTR-FLR
HOG;SXM;882;HOG-SXM
CMG;JJG;861;CMG-JJG
BSB;NVT;762;BSB-NVT
BJF;VAW;36;BJF-VAW
AFL;GIG;1234;AFL-GIG
AFL;MVD;1725;AFL-MVD
MEX;MTT;307;MEX-MTT
CUN;IAD;1354;CUN-IAD
STI;VCP;3319;STI-VCP
IKA;ISE;1165;IKA-ISE
BQS;OVB;1848;BQS-OVB
ADD;DMM;1406;ADD-DMM
FRU;DYU;426;FRU-DYU
SDF;VVI;4111;SDF-VVI
CGN;VKO;1276;CGN-VKO
BGY;RAK;1359;BGY-RAK
GDL;GUA;937;GDL-GUA
YUL;YBG;237;YUL-YBG
BOH;DUB;261;BOH-DUB
KIS;NBO;180;KIS-NBO
NRT;CNS;3651;NRT-CNS
DEN;ISN;576;DEN-ISN
SNU;YYC;2688;SNU-YYC
CMN;NSI;2390;CMN-NSI
GRK;MGA;1501;GRK-MGA
AUA;PTY;679;AUA-PTY
RUH;MED;441;RUH-MED
STI;GRU;3366;STI-GRU
CKS;COR;1938;CKS-COR
AER;LED;1201;AER-LED
HEL;AGP;2083;HEL-AGP
YOW;EWR;329;YOW-EWR
SFO;BOI;522;SFO-BOI
SXM;IAD;1678;SXM-IAD
TIP;CMN;1200;TIP-CMN
VIE;TGD;419;VIE-TGD
SVX;KZN;452;SVX-KZN
SJC;JFK;2562;SJC-JFK
TBU;AKL;1245;TBU-AKL
CJU;SHE;594;CJU-SHE
SXM;HOG;882;SXM-HOG
JJG;CMG;861;JJG-CMG
NVT;BSB;762;NVT-BSB
VAW;BJF;36;VAW-BJF
GIG;AFL;1234;GIG-AFL
MVD;AFL;1725;MVD-AFL
MTT;MEX;307;MTT-MEX
IAD;CUN;1354;IAD-CUN
VCP;STI;3319;VCP-STI
ISE;IKA;1165;ISE-IKA
OVB;BQS;1848;OVB-BQS
DMM;ADD;1406;DMM-ADD
CLT;JAX;328;CLT-JAX
VVI;SDF;4111;VVI-SDF
VKO;CGN;1276;VKO-CGN
RAK;BGY;1359;RAK-BGY
GUA;GDL;937;GUA-GDL
CMN;MED;2903;CMN-MED
DUB;BOH;261;DUB-BOH
NBO;KIS;180;NBO-KIS
CTU;NAY;946;CTU-NAY
ISN;DEN;576;ISN-DEN
YYC;SNU;2688;YYC-SNU
NSI;CMN;2390;NSI-CMN
FEC;JPR;1555;FEC-JPR
PTY;AUA;679;PTY-AUA
DEL;LUH;178;DEL-LUH
HIR;JJA;99;HIR-JJA
COR;CKS;1938;COR-CKS
LED;AER;1201;LED-AER
DME;HMA;1186;DME-HMA
MAO;SFO;4864;MAO-SFO
SJU;CWB;3228;SJU-CWB
BCN;SXB;570;BCN-SXB
MBJ;MUC;5264;MBJ-MUC
LEC;SDU;731;LEC-SDU
JFK;MKE;743;JFK-MKE
NCE;RTM;586;NCE-RTM
ORY;PAP;4567;ORY-PAP
SHE;CJU;594;SHE-CJU
GEO;SCL;2865;GEO-SCL
BZE;MVD;4181;BZE-MVD
DOH;EBL;880;DOH-EBL
BVB;OPS;1049;BVB-OPS
TSF;PSA;162;TSF-PSA
IZA;VDC;484;IZA-VDC
IST;TUN;1049;IST-TUN
HHN;SOF;915;HHN-SOF
CGB;RIA;984;CGB-RIA
FLN;JOI;101;FLN-JOI
ADZ;SFO;3040;ADZ-SFO
IPL;SAN;93;IPL-SAN
JAX;CLT;328;JAX-CLT
EWR;ORF;370;EWR-ORF
DUS;PDL;1830;DUS-PDL
CAY;THE;914;CAY-THE
DSN;NAY;349;DSN-NAY
MED;CMN;2903;MED-CMN
ASU;CUU;4912;ASU-CUU
HFE;KMG;975;HFE-KMG
NAY;CTU;946;NAY-CTU
NYT;HEH;86;NYT-HEH
BCN;SVG;1224;BCN-SVG
AJU;CMG;1481;AJU-CMG
JPR;FEC;1555;JPR-FEC
TPE;WEH;836;TPE-WEH
LUH;DEL;178;LUH-DEL
JJA;HIR;99;JJA-HIR
HND;KKJ;534;HND-KKJ
RVD;VVI;803;RVD-VVI
HMA;DME;1186;HMA-DME
SFO;MAO;4864;SFO-MAO
LIS;LPL;1049;LIS-LPL
SXB;BCN;570;SXB-BCN
LCA;RHO;328;LCA-RHO
SDU;LEC;731;SDU-LEC
MKE;JFK;743;MKE-JFK
RTM;NCE;586;RTM-NCE
PAP;ORY;4567;PAP-ORY
CUU;TRC;267;CUU-TRC
SCL;GEO;2865;SCL-GEO
MVD;BZE;4181;MVD-BZE
EBL;DOH;880;EBL-DOH
OPS;BVB;1049;OPS-BVB
DME;SZG;1179;DME-SZG
VDC;IZA;484;VDC-IZA
TUN;IST;1049;TUN-IST
SOF;HHN;915;SOF-HHN
RIA;CGB;984;RIA-CGB
JOI;FLN;101;JOI-FLN
SFO;ADZ;3040;SFO-ADZ
SAN;IPL;93;SAN-IPL
MII;TFF;1635;MII-TFF
ORF;EWR;370;ORF-EWR
PDL;DUS;1830;PDL-DUS
THE;CAY;914;THE-CAY
NAY;DSN;349;NAY-DSN
IST;LWO;662;IST-LWO
DXB;DYU;1207;DXB-DYU
KMG;HFE;975;KMG-HFE
BVH;ORY;5694;BVH-ORY
BGA;EWR;2312;BGA-EWR
SVG;BCN;1224;SVG-BCN
CMG;AJU;1481;CMG-AJU
POJ;RAO;190;POJ-RAO
WEH;TPE;836;WEH-TPE
CUU;SDQ;2398;CUU-SDQ
AFL;CGH;1137;AFL-CGH
KKJ;HND;534;KKJ-HND
VVI;RVD;803;VVI-RVD
CVG;RDU;390;CVG-RDU
CPH;SZG;542;CPH-SZG
LPL;LIS;1049;LPL-LIS
JOI;LAJ;141;JOI-LAJ
RHO;LCA;328;RHO-LCA
COO;JNB;2829;COO-JNB
PBC;SJU;2118;PBC-SJU
ELG;TMR;557;ELG-TMR
DUB;EDI;208;DUB-EDI
TRC;CUU;267;TRC-CUU
RVD;TBT;1590;RVD-TBT
CAU;CFB;1089;CAU-CFB
CMG;VVI;371;CMG-VVI
SCL;UIO;2341;SCL-UIO
SZG;DME;1179;SZG-DME
CEK;EVN;1301;CEK-EVN
RAI;SID;129;RAI-SID
BVA;SKP;1072;BVA-SKP
DME;VLC;2064;DME-VLC
AUA;AXM;680;AUA-AXM
BUF;EWR;289;BUF-EWR
NTE;TFS;1547;NTE-TFS
TFF;MII;1635;TFF-MII
SAP;TPA;929;SAP-TPA
FLL;RDU;683;FLL-RDU
BJX;POA;4848;BJX-POA
DJE;TUN;208;DJE-TUN
LWO;IST;662;LWO-IST
DYU;DXB;1207;DYU-DXB
CPH;SVO;971;CPH-SVO
ORY;BVH;5694;ORY-BVH
EWR;BGA;2312;EWR-BGA
EWR;RIC;327;EWR-RIC
HEL;TAY;152;HEL-TAY
RAO;POJ;190;RAO-POJ
AUA;REC;2798;AUA-REC
SDQ;CUU;2398;SDQ-CUU
CGH;AFL;1137;CGH-AFL
DIQ;OAL;1254;DIQ-OAL
KWL;WNZ;694;KWL-WNZ
RDU;CVG;390;RDU-CVG
SZG;CPH;542;SZG-CPH
BPG;CAC;636;BPG-CAC
LAJ;JOI;141;LAJ-JOI
NVT;PHB;1719;NVT-PHB
JNB;COO;2829;JNB-COO
SJU;PBC;2118;SJU-PBC
TMR;ELG;0;TMR-ELG
EDI;DUB;208;EDI-DUB
BRR;GLA;139;BRR-GLA
TBT;RVD;1590;TBT-RVD
CFB;CAU;1089;CFB-CAU
VVI;CMG;371;VVI-CMG
UIO;SCL;2342;UIO-SCL
FAO;SVQ;118;FAO-SVQ
EVN;CEK;1301;EVN-CEK
SID;RAI;129;SID-RAI
SKP;BVA;1072;SKP-BVA
VLC;DME;2064;VLC-DME
AXM;AUA;680;AXM-AUA
EWR;BUF;289;EWR-BUF
TFS;NTE;1547;TFS-NTE
GLA;LBA;177;GLA-LBA
TPA;SAP;929;TPA-SAP
RDU;FLL;683;RDU-FLL
POA;BJX;4848;POA-BJX
TUN;DJE;208;TUN-DJE
BZV;LAD;346;BZV-LAD
GEL;IOS;1343;GEL-IOS
SVO;CPH;971;SVO-CPH
FLL;LAS;2174;FLL-LAS
PPB;TXF;828;PPB-TXF
RIC;EWR;327;RIC-EWR
TAY;HEL;152;TAY-HEL
IFN;SYZ;225;IFN-SYZ
REC;AUA;2798;REC-AUA
DUS;LUX;118;DUS-LUX
CVM;REX;165;CVM-REX
OAL;DIQ;1254;OAL-DIQ
WNZ;KWL;694;WNZ-KWL
HUZ;YBP;727;HUZ-YBP
ARX;RIA;2024;ARX-RIA
CAC;BPG;636;CAC-BPG
TSN;XFN;559;TSN-XFN
PHB;NVT;1719;PHB-NVT
HFE;TPE;525;HFE-TPE
DTW;HSV;555;DTW-HSV
CTS;MMB;148;CTS-MMB
ABE;EWR;67;ABE-EWR
GLA;BRR;139;GLA-BRR
CCS;SNU;1185;CCS-SNU
AMS;MDE;5469;AMS-MDE
KNS;MEL;161;KNS-MEL
KGF;OVB;539;KGF-OVB
SVQ;FAO;118;SVQ-FAO
GVA;RTM;402;GVA-RTM
NAS;POS;1452;NAS-POS
ALY;SHJ;1603;ALY-SHJ
MDE;OMA;2729;MDE-OMA
NAS;ORD;1311;NAS-ORD
NAY;SYX;1537;NAY-SYX
CPH;LAX;5624;CPH-LAX
LBA;GLA;177;LBA-GLA
HUX;MEX;313;HUX-MEX
CKS;GYN;728;CKS-GYN
LAD;VHC;495;LAD-VHC
GMR;HOI;517;GMR-HOI
LAD;BZV;346;LAD-BZV
IOS;GEL;1343;IOS-GEL
AMS;BSL;348;AMS-BSL
LAS;FLL;2174;LAS-FLL
TXF;PPB;828;TXF-PPB
PMG;ROS;781;PMG-ROS
BZE;IAD;1613;BZE-IAD
SYZ;IFN;225;SYZ-IFN
MBJ;NAS;452;MBJ-NAS
LUX;DUS;118;LUX-DUS
REX;CVM;165;REX-CVM
AMS;MAH;860;AMS-MAH
LJG;WUX;1263;LJG-WUX
YBP;HUZ;727;YBP-HUZ
RIA;ARX;2024;RIA-ARX
BGA;MVD;3097;BGA-MVD
XFN;TSN;0;XFN-TSN
CKY;ROB;320;CKY-ROB
TPE;HFE;525;TPE-HFE
HSV;DTW;555;HSV-DTW
MMB;CTS;148;MMB-CTS
EWR;ABE;67;EWR-ABE
CBB;CIJ;474;CBB-CIJ
SNU;CCS;1185;SNU-CCS
MDE;AMS;5469;MDE-AMS
MEL;KNS;161;MEL-KNS
OVB;KGF;539;OVB-KGF
DIQ;NVT;521;DIQ-NVT
RTM;GVA;402;RTM-GVA
POS;NAS;1452;POS-NAS
SHJ;ALY;1603;SHJ-ALY
OMA;MDE;2729;OMA-MDE
ORD;NAS;1311;ORD-NAS
SYX;NAY;1537;SYX-NAY
LAX;CPH;5624;LAX-CPH
JDO;LIS;3729;JDO-LIS
MEX;HUX;313;MEX-HUX
GYN;CKS;728;GYN-CKS
VHC;LAD;495;VHC-LAD
HOI;GMR;517;HOI-GMR
YUL;YYG;513;YUL-YYG
HIR;VLI;797;HIR-VLI
BSL;AMS;348;BSL-AMS
CCS;VLN;71;CCS-VLN
BSB;BYO;670;BSB-BYO
ROS;PMG;781;ROS-PMG
IAD;BZE;1613;IAD-BZE
MCZ;TBT;2370;MCZ-TBT
NAS;MBJ;452;NAS-MBJ
KHY;THR;398;KHY-THR
DLC;YNY;391;DLC-YNY
MAH;AMS;860;MAH-AMS
WUX;LJG;1263;WUX-LJG
NAT;PHB;481;NAT-PHB
GIG;TXF;433;GIG-TXF
MVD;BGA;3097;MVD-BGA
CKS;TJL;1017;CKS-TJL
ROB;CKY;320;ROB-CKY
PDL;YYZ;2792;PDL-YYZ
AJU;MAB;912;AJU-MAB
BKK;PER;3319;BKK-PER
DEN;SJO;2411;DEN-SJO
CIJ;CBB;474;CIJ-CBB
BGO;PMI;1438;BGO-PMI
DUS;SUF;971;DUS-SUF
PRG;UME;973;PRG-UME
IMP;PDP;2084;IMP-PDP
NVT;DIQ;521;NVT-DIQ
MDZ;GEO;2793;MDZ-GEO
PSP;SEA;987;PSP-SEA
CAN;CKG;604;CAN-CKG
GLA;KOI;220;GLA-KOI
DXB;WAW;2589;DXB-WAW
EFL;PVK;58;EFL-PVK
DLC;LYA;583;DLC-LYA
LIS;JDO;3729;LIS-JDO
BKI;DPS;1011;BKI-DPS
DXB;MAA;1826;DXB-MAA
DME;NRT;4667;DME-NRT
MCZ;PFB;1682;MCZ-PFB
YYG;YUL;513;YYG-YUL
VLI;HIR;797;VLI-HIR
GFN;TRO;149;GFN-TRO
VLN;CCS;71;VLN-CCS
BYO;BSB;670;BYO-BSB
SFO;SNU;2720;SFO-SNU
FEN;FLL;3784;FEN-FLL
TBT;MCZ;2370;TBT-MCZ
